Sr. No.,Date(dd/mm/yyyy),Startup Name,Industry Vertical,City / Location,Investors’ Name,InvestmentType,Amount (in USD),Remarks,Industry/ Vertical,Sub-Vertical,Invest-mentType,Date,Industry/Vertical,City,Investor Name,Investment Type,Amount(in USD),Unnamed: 0,Founding Date,Founders,Investors,Investment Stage,0,1,2,3,4,5,6,7,8,Amount_Cleaned,Date_Parsed,Year,Sector_Standardized,State_Standardized
24.0,13/04/2015,Capricoast,Online Kitchen Furniture,Bangalore,Accel Partners India,Seed Funding,"1,250,000",,,,,,,,,,,,,,,,,,,,,,,,,1250000.0,2015-04-13,2015.0,online kitchen furniture,bangalore
25.0,14/04/2015,LocalOye,Hyper-local Online Services,Mumbai,"Tiger Global Management, Lightspeed Venture Partners",Private Equity,"5,000,000",Series A,,,,,,,,,,,,,,,,,,,,,,,,5000000.0,2015-04-14,2015.0,hyper-local online services,mumbai
26.0,15/04/2015,Grofers,Hyper-Local Online/Mobile Grocery,Gurgaon,"Tiger Global, Sequoia Capital",Private Equity,"35,000,000",Series B,,,,,,,,,,,,,,,,,,,,,,,,35000000.0,2015-04-15,2015.0,hyper-local online/mobile grocery,gurgaon
27.0,15/04/2015,PepperTap,Hyper-Local Online/Mobile Grocery,Gurgaon,"SAIF Partners, Sequoia Capital",Private Equity,"10,000,000",Series A,,,,,,,,,,,,,,,,,,,,,,,,10000000.0,2015-04-15,2015.0,hyper-local online/mobile grocery,gurgaon
28.0,15/04/2015,PolicyBazaar,Online Policy Aggregator,Gurgaon,"PremjiInvest, Tiger Global, Ribbit Capital",Private Equity,"40,000,000",Series D,,,,,,,,,,,,,,,,,,,,,,,,40000000.0,2015-04-15,2015.0,online policy aggregator,gurgaon
29.0,16/04/2015,UrbanClap,Hyperlocal Mobile Services Marketplace,New Delhi,"SAIF Partners, Accel Partners, Kunal Bahl, Rohit Bansal",Seed Funding,"1,600,000",,,,,,,,,,,,,,,,,,,,,,,,,1600000.0,2015-04-16,2015.0,hyperlocal mobile services marketplace,new delhi
30.0,16/04/2015,Taskbob,OnDemandMobile Handyman Services,Mumbai,"Orios Venture Partners, Mayfield India",Seed Funding,"1,200,000",,,,,,,,,,,,,,,,,,,,,,,,,1200000.0,2015-04-16,2015.0,ondemandmobile handyman services,mumbai
31.0,17/04/2015,Robosoft,Mobile App Development,Udupi,"Ascent Capital, Kalaari Capital",Private Equity,"12,000,000",Series B,,,,,,,,,,,,,,,,,,,,,,,,12000000.0,2015-04-17,2015.0,mobile app development,udupi
32.0,18/04/2015,Doormint,On-Demand Handyman Services,Mumbai,Powai Lake Ventures,Seed Funding,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-04-18,2015.0,on-demand handyman services,mumbai
33.0,20/04/2015,Vyomo,Beauty & Wellness Mobile App,Gurgaon,YouWeCan Ventures,Seed Funding,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-04-20,2015.0,beauty & wellness mobile app,gurgaon
34.0,20/04/2015,Pastiwala,Material Collection & Recycling,Vadodara,Agnus Capital,Private Equity,"4,000,000",Series A,,,,,,,,,,,,,,,,,,,,,,,,4000000.0,2015-04-20,2015.0,material collection & recycling,vadodara
35.0,20/04/2015,1mg (Healthkartplus),Online Pharmacy & Drug DB,Gurgaon,"Deep Kalra, Sequoia Capital, Omidyar Network, Intel Capital & Kae Capital",Private Equity,"6,000,000",Series A,,,,,,,,,,,,,,,,,,,,,,,,6000000.0,2015-04-20,2015.0,online pharmacy & drug db,gurgaon
36.0,20/04/2015,Freshdesk,Online / Mobile Customer Support,Chennai,"Tiger Global, Google Capital & Accel Partners",Private Equity,"50,000,000",Series E,,,,,,,,,,,,,,,,,,,,,,,,50000000.0,2015-04-20,2015.0,online / mobile customer support,chennai
37.0,20/04/2015,Sulekha.com,Online Classifieds & Listings,Chennai,GIC ventures,Private Equity,"28,000,000",Series C,,,,,,,,,,,,,,,,,,,,,,,,28000000.0,2015-04-20,2015.0,online classifieds & listings,chennai
38.0,22/04/2015,FindYahan,Hyperlocal services marketplace,New Delhi,The Phoenix Fund,Private Equity,,Series A,,,,,,,,,,,,,,,,,,,,,,,,,2015-04-22,2015.0,hyperlocal services marketplace,new delhi
39.0,22/04/2015,Eat.Shop.Love,Fashion ECommerce,Bangalore,Undisclosed Investor,Private Equity,"3,500,000",Series A,,,,,,,,,,,,,,,,,,,,,,,,3500000.0,2015-04-22,2015.0,fashion ecommerce,bangalore
40.0,22/04/2015,Avanti Learning,Private Coaching Centers,New Delhi,"Michael & Susan Dell Foundation, Pearson Learning Fund",Private Equity,"1,500,000",Series A,,,,,,,,,,,,,,,,,,,,,,,,1500000.0,2015-04-22,2015.0,private coaching centers,new delhi
41.0,23/04/2015,Simplilearn,Online Certification Courses,Bangalore,"Mayfield Ventures, Kalaari Capital, Helion Ventures",Private Equity,"15,000,000",Series C,,,,,,,,,,,,,,,,,,,,,,,,15000000.0,2015-04-23,2015.0,online certification courses,bangalore
42.0,23/04/2015,Craftstvilla,Ethnic Product eCommerce,Mumbai,"Sequoia Capital, Nexus venture Partners, Lightspeed Ventures, GFC",Private Equity,"18,000,000",Series B,,,,,,,,,,,,,,,,,,,,,,,,18000000.0,2015-04-23,2015.0,ethnic product ecommerce,mumbai
43.0,23/04/2015,HeadOut,Last Minute Travel Deals mobile marketplace,Bangalore / SFO,"Version One Ventures, 500 Startups, Nexus Venture Partners and Arena Ventures",Seed Funding,"1,800,000",,,,,,,,,,,,,,,,,,,,,,,,,1800000.0,2015-04-23,2015.0,last minute travel deals mobile marketplace,bangalore / sfo
44.0,23/04/2015,happay,business expense management,Bangalore,AngelPrime,Seed Funding,"500,000",,,,,,,,,,,,,,,,,,,,,,,,,500000.0,2015-04-23,2015.0,business expense management,bangalore
45.0,23/04/2015,Jugnoo,Auto Rickshaw based Logistics,Chandigarh,"Rakesh Mathur, Vikas Taneja & others",Seed Funding,"1,000,000",,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,2015-04-23,2015.0,auto rickshaw based logistics,chandigarh
46.0,23/04/2015,EazyDiner,Restaurant reservation app,New Delhi,"Deepak Shahdadpuri, Gulpreet Kohli",Seed Funding,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-04-23,2015.0,restaurant reservation app,new delhi
47.0,23/04/2015,Phone Warrior,Spam Call block App,New Delhi,Lightspeed Ventures,Seed Funding,,Pre-Series A,,,,,,,,,,,,,,,,,,,,,,,,,2015-04-23,2015.0,spam call block app,new delhi
48.0,24/04/2015,Coverfox,Online Insurance Aggregator,Mumbai,"Accel US, Accel India, SAIF Partners.",Private Equity,"12,000,000",Series B,,,,,,,,,,,,,,,,,,,,,,,,12000000.0,2015-04-24,2015.0,online insurance aggregator,mumbai
49.0,27/04/2015,Torqus,Restaurant Management Platform,Pune,S S Mukherji & Others,Seed Funding,"350,000",,,,,,,,,,,,,,,,,,,,,,,,,350000.0,2015-04-27,2015.0,restaurant management platform,pune
50.0,27/04/2015,Grab,Food Logistics & Delivery,Mumbai,"Oliphans Capital, Haresh Chawla",Seed Funding,"1,000,000",,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,2015-04-27,2015.0,food logistics & delivery,mumbai
51.0,27/04/2015,LogicRoots,Interactive Educational Games,Jaipur,"Ah! Ventures, Calcutta Angels,  91SpringBoard",Seed Funding,"400,000",,,,,,,,,,,,,,,,,,,,,,,,,400000.0,2015-04-27,2015.0,interactive educational games,jaipur
52.0,27/04/2015,GIBBS,Clean Tech,New Delhi,Infuse Ventures fund,Private Equity,,Series B,,,,,,,,,,,,,,,,,,,,,,,,,2015-04-27,2015.0,clean tech,new delhi
53.0,28/04/2015,Babajobs,Grey collar Job Board,Bangalore,SEEK Ltd & affiliates,Private Equity,"10,000,000",Series B,,,,,,,,,,,,,,,,,,,,,,,,10000000.0,2015-04-28,2015.0,grey collar job board,bangalore
54.0,28/04/2015,Urban Ladder,Online Furniture ecommerce,Bangalore,"Anand Rajaraman, Venky Harinarayan",Private Equity,,Series D,,,,,,,,,,,,,,,,,,,,,,,,,2015-04-28,2015.0,online furniture ecommerce,bangalore
55.0,28/04/2015,Jay Robotix,Robotic Program learning,Hyderabad,Cross Border Angels & others,Seed Funding,"250,000",,,,,,,,,,,,,,,,,,,,,,,,,250000.0,2015-04-28,2015.0,robotic program learning,hyderabad
56.0,28/04/2015,Naaptol.com,Tele-Shopping / eCommerce,Mumbai,Mitsui & Co & existing investors,Private Equity,"21,500,000",Series C,,,,,,,,,,,,,,,,,,,,,,,,21500000.0,2015-04-28,2015.0,tele-shopping / ecommerce,mumbai
57.0,29/04/2015,ReGlobe,Used Gadgets Buy / Refurbishing,Gurgaon,"Bessemer Ventures, Blume Ventures",Seed Funding,"1,000,000",,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,2015-04-29,2015.0,used gadgets buy / refurbishing,gurgaon
58.0,29/04/2015,Icertis,Cloud Enterprise Software,Pune / US,"Greycroft Partners, Fidelity Growth Partners",Private Equity,"6,000,000",Series A,,,,,,,,,,,,,,,,,,,,,,,,6000000.0,2015-04-29,2015.0,cloud enterprise software,pune / us
59.0,29/04/2015,Tracxn,Startup Analytics platform,Bangalore,SAIF Partners,Private Equity,"3,500,000",Series A,,,,,,,,,,,,,,,,,,,,,,,,3500000.0,2015-04-29,2015.0,startup analytics platform,bangalore
60.0,29/04/2015,Dazo,Mobile Food Ordering app,Bangalore,"Sumit Jain, Aprameya Radhakrishna, Alok Goel, Rajan Anandan, Amit Agrawal, Vinay Goel, Gaurav Munjal, Ashish Dev Kapur",Seed Funding,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-04-29,2015.0,mobile food ordering app,bangalore
61.0,29/04/2015,Tradelab,Financial Markets Software,Bangalore,Rainmatter,Seed Funding,"400,000",,,,,,,,,,,,,,,,,,,,,,,,,400000.0,2015-04-29,2015.0,financial markets software,bangalore
62.0,29/04/2015,PiQube,Hiring Analytics platform,Chennai,The HR Fund,Seed Funding,"500,000",,,,,,,,,,,,,,,,,,,,,,,,,500000.0,2015-04-29,2015.0,hiring analytics platform,chennai
63.0,29/04/2015,Travel Triangle,Online Travel Marketplace,Noida,"Bessemer Venture Partners, SAIF Partners",Private Equity,"8,000,000",Series B,,,,,,,,,,,,,,,,,,,,,,,,8000000.0,2015-04-29,2015.0,online travel marketplace,noida
1.0,01/08/2015,Snapdeal,Ecommerce Marketplace,New Delhi,"Alibaba, Foxconn, Softbank",Private Equity,"500,000,000",Late Stage Round 7th (More details),,,,,,,,,,,,,,,,,,,,,,,,500000000.0,2015-01-08,2015.0,ecommerce marketplace,new delhi
2.0,01/08/2015,Ressy,Restaurant Discount app,Pune,Mohandas Pai & others,Seed Funding,"400,000",,,,,,,,,,,,,,,,,,,,,,,,,400000.0,2015-01-08,2015.0,restaurant discount app,pune
3.0,03/08/2015,Cuelearn,Tech-enabled learning,New Delhi,Alok Mittal,Seed Funding,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-03-08,2015.0,tech-enabled learning,new delhi
4.0,03/08/2015,Connect India,ECommerce Logistics provider,New Delhi,Aavishkaar,Private Equity,"5,000,000",Series A,,,,,,,,,,,,,,,,,,,,,,,,5000000.0,2015-03-08,2015.0,ecommerce logistics provider,new delhi
5.0,03/08/2015,The Home Salon,on-demand home beauty and wellness portal,Mumbai,VentureNursery,Seed Funding,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-03-08,2015.0,on-demand home beauty and wellness portal,mumbai
6.0,03/08/2015,Jusride,Self Driven Car rental,Mumbai,"Alok Mittal, Zeeshan Hayat, Niraj Singh, Nikunj Jain, Anirudh Damani, Punit Goyal",Seed Funding,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-03-08,2015.0,self driven car rental,mumbai
7.0,03/08/2015,Oyorooms,Budget Hotel accommodation brand,New Delhi,"SoftBank Group, Greenoaks Capital, Sequoia Capital,  Lightspeed India",Private Equity,"100,000,000",Series B,,,,,,,,,,,,,,,,,,,,,,,,100000000.0,2015-03-08,2015.0,budget hotel accommodation brand,new delhi
8.0,03/08/2015,Glowship,Energy & Environment Online Marketplace,Bangalore,Infuse Ventures,Seed Funding,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-03-08,2015.0,energy & environment online marketplace,bangalore
9.0,03/08/2015,Wizrocket,User Engagment & Analytics platform,Mumbai,"Sequoia Capital, Accel Partners",Private Equity,"9,600,000",Series B,,,,,,,,,,,,,,,,,,,,,,,,9600000.0,2015-03-08,2015.0,user engagment & analytics platform,mumbai
10.0,04/08/2015,Pickingo,On-Demand Delivery Logistics,New Delhi,"Orios Venture Partners, Zishaan Hayath",Private Equity,"1,300,000",Series A,,,,,,,,,,,,,,,,,,,,,,,,1300000.0,2015-04-08,2015.0,on-demand delivery logistics,new delhi
11.0,05/08/2015,Grex,fund raising platform for startups,Pune,"Kunal Bajaj, Chandru Badrinarayanan",Seed Funding,"650,000",,,,,,,,,,,,,,,,,,,,,,,,,650000.0,2015-05-08,2015.0,fund raising platform for startups,pune
12.0,05/08/2015,LetsTransport,Logistics Tech Platform,Bangalore,"Rebright Partners, Ankush Nijhawan, Gaurav Bhatnagar, Manish Dhingra",Seed Funding,"1,300,000",,,,,,,,,,,,,,,,,,,,,,,,,1300000.0,2015-05-08,2015.0,logistics tech platform,bangalore
13.0,05/08/2015,Zo Rooms,Online budget hotel chain,New Delhi,"Tiger Global Management, Orios Venture Partners",Private Equity,"30,000,000",Series A,,,,,,,,,,,,,,,,,,,,,,,,30000000.0,2015-05-08,2015.0,online budget hotel chain,new delhi
14.0,05/08/2015,Doormint,Hyperlocal Handyman services,Mumbai,"Helion Venture Partners, Kalaari Capital",Private Equity,"3,000,000",Series A,,,,,,,,,,,,,,,,,,,,,,,,3000000.0,2015-05-08,2015.0,hyperlocal handyman services,mumbai
15.0,05/08/2015,NightStay,hotel booking app,Noida,"BedRock Ventures, Rajesh Sawhney, Shailesh Singh",Seed Funding,"500,000",,,,,,,,,,,,,,,,,,,,,,,,,500000.0,2015-05-08,2015.0,hotel booking app,noida
16.0,05/08/2015,Zocalo,Rental Accomodation finder,New Delhi,"Sachin Bhatia, Rajesh Sawhney",Seed Funding,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-05-08,2015.0,rental accomodation finder,new delhi
17.0,05/08/2015,Sunday Realty Solutions,Tech Platform for property brokers,Mumbai,"Ramesh Jogani, Shailesh Viswanathan, Jay Srinivasan",Seed Funding,"785,000",,,,,,,,,,,,,,,,,,,,,,,,,785000.0,2015-05-08,2015.0,tech platform for property brokers,mumbai
18.0,06/08/2015,Klozee,Luxury Apparel rental,Bangalore,Tracxn Labs,Seed Funding,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-06-08,2015.0,luxury apparel rental,bangalore
19.0,06/08/2015,Appvigil,App security  testing platform,Mumbai,"Ravi Gururaj, Gaurav Sharma, Viswanath Ramachandran, RippleWave",Seed Funding,"500,000",pre Series-A,,,,,,,,,,,,,,,,,,,,,,,,500000.0,2015-06-08,2015.0,app security  testing platform,mumbai
20.0,06/08/2015,practo,Doctor Appointment booking app,Bangalore,"Sofina, Google Capital, Altimeter Capital, Sequoia Capital Global Equities, Yuri Milner, Sequoia Capital, Matrix Partners",Private Equity,"90,000,000",Series C,,,,,,,,,,,,,,,,,,,,,,,,90000000.0,2015-06-08,2015.0,doctor appointment booking app,bangalore
21.0,06/08/2015,LoudShout,anonymous bulletin board app,New Delhi,"Sanjay Sethi, Ravi Jaipuria & others",Seed Funding,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-06-08,2015.0,anonymous bulletin board app,new delhi
22.0,06/08/2015,Wetravelsolo,Travel community platform,New Delhi,"CCube Angels, Frontline Strategy",Seed Funding,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-06-08,2015.0,travel community platform,new delhi
23.0,06/08/2015,Ketto,Crowd funding platform,Mumbai,"Chennai Angels, Calcutta Angels, ah! Ventures, Intellecap Impact Investment Network, Indus Age Partners, Singapore Angel Network, India Internet Fund, LetsVenture",Seed Funding,"700,000",,,,,,,,,,,,,,,,,,,,,,,,,700000.0,2015-06-08,2015.0,crowd funding platform,mumbai
23.0,06/08/2015,Ezetap,Mobile based PoS solution,Bangalore,"Horizons Ventures, Capricorn Investment Group, Social+Capital, Helion Advisors, Berggruen Holdings",Private Equity,"25,000,000",Series C,,,,,,,,,,,,,,,,,,,,,,,,25000000.0,2015-06-08,2015.0,mobile based pos solution,bangalore
24.0,06/08/2015,NDTV ecommerce venture,Car & Bike ecommerce platform,Mumbai,"Inflexionpoint, Pramod Bhasin, Sixth Sense Ventures, Vindi Banga, Hiro Mashita",Private Equity,,Series A,,,,,,,,,,,,,,,,,,,,,,,,,2015-06-08,2015.0,car & bike ecommerce platform,mumbai
25.0,07/08/2015,Carl’s Jr,Fast food Chain Franchisee,Gurgaon,YouWeCan Ventures,Seed Funding,"630,000",,,,,,,,,,,,,,,,,,,,,,,,,630000.0,2015-07-08,2015.0,fast food chain franchisee,gurgaon
26.0,07/08/2015,EasyRewardz,Loyalty Programs & Reward Points,Mumbai,"Wealth First, Ashneer Grover, Atul Phadnis",Private Equity,"500,000",Pre-Series A,,,,,,,,,,,,,,,,,,,,,,,,500000.0,2015-07-08,2015.0,loyalty programs & reward points,mumbai
27.0,07/08/2015,GIBSS,Energy saving solutions provider,Mumbai,"responsAbility Investments, Infuse Ventures",Private Equity,,Series A,,,,,,,,,,,,,,,,,,,,,,,,,2015-07-08,2015.0,energy saving solutions provider,mumbai
28.0,07/08/2015,StoreMore.in,Self-Storage Spaces,Noida,Bedrock Ventures,Seed Funding,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-07-08,2015.0,self-storage spaces,noida
29.0,07/08/2015,iOrderFresh,Grocery retail Mobile app,New Delhi,Best Foodworks,Seed Funding,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-07-08,2015.0,grocery retail mobile app,new delhi
30.0,10/08/2015,MyTaxiIndia,Taxi Rental platform,Gurgaon,"Nihon Kotsu,",Private Equity,"500,000",Pre Series-A,,,,,,,,,,,,,,,,,,,,,,,,500000.0,2015-10-08,2015.0,taxi rental platform,gurgaon
31.0,10/08/2015,eSadar,ecommerce,New Delhi,"Neha Vats, Gaurav Vats",Seed Funding,"80,000",,,,,,,,,,,,,,,,,,,,,,,,,80000.0,2015-10-08,2015.0,ecommerce,new delhi
32.0,10/08/2015,Actionable Analytics,Machine Learning Platform,New Delhi/ Houston,"B M Gupta, Vinod Singhal",Seed Funding,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-10-08,2015.0,machine learning platform,new delhi/ houston
